sample,Relative Expression,Dilutions of brine,Days
1,1.6096745279904587,Time Zero (34.0 g/L),0
1,1.7056327727821774,Time Zero (34.0 g/L),0
1,1.8397496357831895,Time Zero (34.0 g/L),0
1,1.6907549077848614,Time Zero (34.0 g/L),0
1,1.6639311922143591,Time Zero (34.0 g/L),0
3,0.7014315521706469,Time Zero (34.0 g/L),0
3,0.6988943024379218,Time Zero (34.0 g/L),0
3,0.682946221605583,Time Zero (34.0 g/L),0
3,0.6327689733347642,Time Zero (34.0 g/L),0
3,0.7171285830149733,Time Zero (34.0 g/L),0
3,0.6662301460775666,Time Zero (34.0 g/L),0
5,1.0338907760499152,Time Zero (34.0 g/L),0
5,0.8176504401541296,Time Zero (34.0 g/L),0
5,0.8410584650357392,Time Zero (34.0 g/L),0
5,0.7356314151501373,Time Zero (34.0 g/L),0
5,0.7972200651322195,Time Zero (34.0 g/L),0
5,0.8803203951003103,Time Zero (34.0 g/L),0
6,0.8566471412253256,Time Zero (34.0 g/L),0
6,1.0259714907703446,Time Zero (34.0 g/L),0
6,0.9053980637660646,Time Zero (34.0 g/L),0
6,1.1677122350655402,Time Zero (34.0 g/L),0
6,1.0345323832174027,Time Zero (34.0 g/L),0
6,1.024706740858628,Time Zero (34.0 g/L),0
43,0.9799181574112603,34.0 g/L (Control),4
44,1.3199956720231862,34.0 g/L (Control),4
45,1.2758215932448669,34.0 g/L (Control),4
46,1.0333988165418164,34.0 g/L (Control),4
47,0.8772427538076447,34.0 g/L (Control),4
48,0.6632342377442932,34.0 g/L (Control),4
49,0.9175215580863056,36.4 g/L,4
50,1.4023920927055828,36.4 g/L,4
51,1.2162016806273501,36.4 g/L,4
52,1.4157452031708044,36.4 g/L,4
53,0.7468879649731204,36.4 g/L,4
54,0.6321305766980145,45.8 g/L,4
55,1.4505304311191856,45.8 g/L,4
56,0.5655207565576448,45.8 g/L,4
57,1.1753954271225877,45.8 g/L,4
58,0.9588786967002058,45.8 g/L,4
59,0.7866567703542092,51.8 g/L,4
60,1.1866561781727698,51.8 g/L,4
64,1.304948319310162,34.0 g/L (Control),7
65,1.0959055534231723,34.0 g/L (Control),7
66,1.136545677074921,34.0 g/L (Control),7
67,0.6680665084943962,34.0 g/L (Control),7
68,1.577787807786855,34.0 g/L (Control),7
69,0.9062974591622801,34.0 g/L (Control),7
70,1.1903250948423427,36.4 g/L,7
71,0.6985783694533146,36.4 g/L,7
72,0.8783591712411937,36.4 g/L,7
73,1.0688895079575977,36.4 g/L,7
74,1.7301388602598415,36.4 g/L,7
75,0.5914820811988293,36.4 g/L,7
76,1.742760063686749,45.8 g/L,7
77,1.5848540992479991,45.8 g/L,7
78,1.49143555601616,45.8 g/L,7
79,1.3872176837969066,45.8 g/L,7
80,2.0398012017463487,45.8 g/L,7
81,0.9467392923969637,45.8 g/L,7
82,1.9302927135206538,51.8 g/L,7
83,2.2295272060643927,51.8 g/L,7
84,2.201438179125553,51.8 g/L,7
91,0.5425808024418433,34.0 g/L (Control),14
92,0.9439222529454042,34.0 g/L (Control),14
93,0.3860284493036627,34.0 g/L (Control),14
94,1.317082776751544,34.0 g/L (Control),14
95,0.9282981452051741,34.0 g/L (Control),14
96,1.1436616202203196,36.4 g/L,14
97,1.5075546405461564,36.4 g/L,14
98,0.748238274924193,36.4 g/L,14
99,1.1391466384024773,36.4 g/L,14
100,0.8847939169491204,36.4 g/L,14
101,0.7442969817376424,36.4 g/L,14
102,1.4072590964923521,45.8 g/L,14
103,1.6033229859309144,45.8 g/L,14
104,0.5617817879085099,45.8 g/L,14
105,1.7109910920007303,45.8 g/L,14
89,0.7546453154583811,45.8 g/L,14
90,0.645273794213829,51.8 g/L,14
106,0.687868000129495,51.8 g/L,14
107,2.047226748192917,51.8 g/L,14
108,0.9801092657839396,51.8 g/L,14
121,0.9187019892061004,34.0 g/L (Control),21
122,1.3749486748995214,34.0 g/L (Control),21
123,0.549909698431976,34.0 g/L (Control),21
124,0.8612764461274999,34.0 g/L (Control),21
125,1.1746396691703076,34.0 g/L (Control),21
126,0.4793585387793577,34.0 g/L (Control),21
127,1.3816598954401362,36.4 g/L,21
128,1.150193160060151,36.4 g/L,21
129,1.296611972492787,36.4 g/L,21
130,1.2993868249064615,36.4 g/L,21
131,1.8908625493116087,36.4 g/L,21
132,0.43548572281338266,36.4 g/L,21
133,1.3686839138326292,45.8 g/L,21
134,1.0709451427593204,45.8 g/L,21
135,0.38266171271488686,45.8 g/L,21
136,1.1796535878640788,45.8 g/L,21
137,0.9312593714951835,45.8 g/L,21
138,1.2762657021164523,45.8 g/L,21
118,1.0767716574902169,51.8 g/L,21
119,0.728347028563437,51.8 g/L,21
120,1.1661829444167708,51.8 g/L,21
140,1.0035905715031483,34.0 g/L (Control),28
141,0.6071266264288819,34.0 g/L (Control),28
142,0.9020958843036996,34.0 g/L (Control),28
143,1.1690217262263622,34.0 g/L (Control),28
144,0.6935522193517377,34.0 g/L (Control),28
145,1.0132361740810814,36.4 g/L,28
146,1.3281987399495765,36.4 g/L,28
147,0.6736069120752008,36.4 g/L,28
148,0.7227669199529148,36.4 g/L,28
149,0.7361670035767592,36.4 g/L,28
150,0.7220811599605358,36.4 g/L,28
151,1.0624326211879482,45.8 g/L,28
152,0.5446772986965964,45.8 g/L,28
153,0.9769675192267473,45.8 g/L,28
154,0.4178309063593801,45.8 g/L,28
155,0.7882350186258533,45.8 g/L,28
156,1.163438342917059,45.8 g/L,28
